Membership No  Date Joined  Active  
    16211      2017-3-7     no    
    88297      2017-11-9    no    
    88870      2016-12-19   no    
    26126      2020-12-18   no    
    47295      2020-2-8     no    
    52614      2015-2-9     no    
    41850      2017-1-11    no    
    70619      2016-9-11    no    
    11272      2017-8-19    no    
    69672      2016-11-23   no    
    51113      2017-4-22    no    
    89541      2015-4-21    no    
    22793      2016-1-17    no    
    55144      2020-1-1     no    
