Membership No  Date Joined  Active  
    36193      2017-10-16   no    
    38981      2018-11-4    no    
    42666      2016-9-20    no    
    54985      2019-2-21    no    
    49645      2016-7-8     no    
    48828      2020-7-21    no    
    92535      2018-4-25    no    
    48703      2019-10-16   no    
    32087      2019-2-13    no    
    85730      2015-5-3     no    
    55369      2015-6-17    no    
    62307      2016-7-15    no    
    64790      2020-5-24    no    
    70999      2016-5-21    no    
    79614      2016-9-22    no    
